"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Unit1BegExp1"
"07/18/2015 16:44:55:293 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"2","50","4","60","333","333"
"3","50","4","60","458","458"
"4","50","4","60","338","338"
"1","50","4","60","344","344"
"5","50","4","60","384","384"
"7","50","4","60","433","433"
"6","50","4","60","395","395"
"8","50","4","60","442","442"
"10","50","4","60","413","413"
"9","50","4","60","353","353"
"11","50","4","60","328","328"
"13","50","4","60","448","448"
"14","50","4","60","354","354"
"12","50","4","60","291","291"
"15","50","4","60","399","399"
"16","50","4","60","372","372"
"17","50","4","60","416","416"
"18","50","4","60","389","389"
"19","50","4","60","493","493"
"21","50","4","60","431","431"
"20","50","4","60","312","312"
"22","50","4","60","425","425"
"23","50","4","60","518","518"
"24","50","4","60","438","438"
"26","50","4","60","509","509"
"25","50","4","60","415","415"
"27","50","4","60","352","352"
"28","50","4","60","386","386"
"29","50","4","60","515","515"
"30","50","4","60","425","425"
"31","50","4","60","403","403"
"32","50","4","60","417","417"
"33","50","4","60","379","379"
"34","50","4","60","505","505"
"35","50","4","60","577","577"
"37","50","4","60","399","399"
"36","50","4","60","444","444"
"38","50","4","60","346","346"
"39","50","4","60","296","296"
"40","50","4","60","401","401"
"42","50","4","60","342","342"
"41","50","4","60","357","357"
"43","50","4","60","372","372"
"44","50","4","60","352","352"
"45","50","4","60","360","360"
"46","50","4","60","381","381"
"48","50","4","60","334","334"
"47","50","4","60","431","431"
"50","50","4","60","394","394"
"49","50","4","60","432","432"
"51","50","4","60","297","297"
"53","50","4","60","406","406"
"52","50","4","60","534","534"
"54","50","4","60","441","441"
"55","50","4","60","361","361"
"56","50","4","60","452","452"
"57","50","4","60","286","286"
"58","50","4","60","512","512"
"60","50","4","60","408","408"
"59","50","4","60","404","404"
"61","50","4","60","487","487"
"63","50","4","60","339","339"
"62","50","4","60","356","356"
"64","50","4","60","353","353"
"65","50","4","60","324","324"
"67","50","4","60","322","322"
"66","50","4","60","418","418"
"69","50","4","60","411","411"
"68","50","4","60","355","355"
"70","50","4","60","477","477"
"71","50","4","60","448","448"
"72","50","4","60","405","405"
"73","50","4","60","387","387"
"74","50","4","60","439","439"
"75","50","4","60","459","459"
"76","50","4","60","500","500"
"78","50","4","60","413","413"
"77","50","4","60","445","445"
"79","50","4","60","338","338"
"80","50","4","60","324","324"
"81","50","4","60","332","332"
"82","50","4","60","385","385"
"83","50","4","60","448","448"
"84","50","4","60","377","377"
"85","50","4","60","375","375"
"86","50","4","60","260","260"
"87","50","4","60","369","369"
"89","50","4","60","364","364"
"88","50","4","60","450","450"
"90","50","4","60","323","323"
"91","50","4","60","322","322"
"92","50","4","60","447","447"
"93","50","4","60","386","386"
"94","50","4","60","470","470"
"95","50","4","60","291","291"
"96","50","4","60","364","364"
"98","50","4","60","365","365"
"99","50","4","60","356","356"
"97","50","4","60","470","470"
"100","50","4","60","368","368"
"101","50","4","60","345","345"
"103","50","4","60","476","476"
"102","50","4","60","368","368"
"105","50","4","60","466","466"
"104","50","4","60","394","394"
"106","50","4","60","402","402"
"108","50","4","60","416","416"
"107","50","4","60","494","494"
"109","50","4","60","463","463"
"110","50","4","60","353","353"
"111","50","4","60","500","500"
"113","50","4","60","532","532"
"112","50","4","60","408","408"
"114","50","4","60","384","384"
"115","50","4","60","398","398"
"116","50","4","60","460","460"
"117","50","4","60","317","317"
"118","50","4","60","332","332"
"119","50","4","60","411","411"
"120","50","4","60","448","448"
"122","50","4","60","429","429"
"121","50","4","60","456","456"
"123","50","4","60","584","584"
"124","50","4","60","385","385"
"125","50","4","60","367","367"
"127","50","4","60","371","371"
"126","50","4","60","412","412"
"128","50","4","60","372","372"
"130","50","4","60","380","380"
"129","50","4","60","491","491"
"131","50","4","60","322","322"
"133","50","4","60","335","335"
"134","50","4","60","377","377"
"132","50","4","60","440","440"
"135","50","4","60","405","405"
"136","50","4","60","542","542"
"137","50","4","60","374","374"
"138","50","4","60","359","359"
"139","50","4","60","404","404"
"141","50","4","60","507","507"
"140","50","4","60","563","563"
"142","50","4","60","464","464"
"143","50","4","60","414","414"
"145","50","4","60","320","320"
"144","50","4","60","509","509"
"147","50","4","60","399","399"
"146","50","4","60","427","427"
"148","50","4","60","331","331"
"150","50","4","60","370","370"
"149","50","4","60","499","499"
"151","50","4","60","471","471"
"152","50","4","60","392","392"
"153","50","4","60","455","455"
"155","50","4","60","393","393"
"154","50","4","60","473","473"
"156","50","4","60","324","324"
"157","50","4","60","441","441"
"158","50","4","60","418","418"
"160","50","4","60","364","364"
"159","50","4","60","316","316"
"161","50","4","60","438","438"
"162","50","4","60","330","330"
"163","50","4","60","325","325"
"164","50","4","60","305","305"
"165","50","4","60","390","390"
"167","50","4","60","400","400"
"166","50","4","60","400","400"
"168","50","4","60","462","462"
"169","50","4","60","386","386"
"170","50","4","60","422","422"
"171","50","4","60","414","414"
"172","50","4","60","491","491"
"174","50","4","60","332","332"
"173","50","4","60","354","354"
"175","50","4","60","460","460"
"176","50","4","60","403","403"
"177","50","4","60","411","411"
"178","50","4","60","427","427"
"179","50","4","60","537","537"
"181","50","4","60","485","485"
"180","50","4","60","319","319"
"182","50","4","60","336","336"
"184","50","4","60","389","389"
"183","50","4","60","493","493"
"186","50","4","60","442","442"
"185","50","4","60","584","584"
"188","50","4","60","380","380"
"187","50","4","60","457","457"
"189","50","4","60","379","379"
"190","50","4","60","337","337"
"191","50","4","60","478","478"
"192","50","4","60","367","367"
